"date","home","hometrk","away","awaytrk","homewinprob","homewinch","homelosch","awaywinch","awaylosch","homewint5","homelost5","awaywint5","awaylost5","homewint8","homelost8","awaywint8","awaylost8"
"2023-10-04","Purdue",21,"Illinois",99,0.9571,0,0,0,0,0.302,0.142,0,0,0.982,0.937,0.166,0.059
"2023-10-04","Iowa",151,"Wisconsin",2,1e-04,0,0,0.188,0,0,0,1,1,0,0,1,1
"2023-10-06","Michigan",117,"Northwestern",48,0.1447,0,0,0,0,0,0,0.012,0.001,0.001,0,0.69,0.496
"2023-10-06","Rutgers",145,"Ohio St.",37,0.0783,0,0,0,0,0,0,0.048,0.014,0,0,0.82,0.622
"2023-10-06","Michigan St.",54,"Nebraska",1,0.0085,0,0,0.763,0.529,0.012,0.001,1,1,0.424,0.185,1,1
"2023-10-06","Maryland",65,"Minnesota",14,0.1134,0,0,0,0.001,0.003,0.001,0.895,0.757,0.498,0.278,1,0.998
"2023-10-06","Penn St.",13,"Indiana",20,0.8057,0.061,0.012,0.001,0,0.998,0.991,0.871,0.748,1,1,1,0.998
"2023-10-07","Michigan",117,"Nebraska",1,1e-04,0,0,0.761,0,0,0,1,1,0,0,1,1
"2023-10-07","Penn St.",13,"Ohio St.",37,0.9065,0.055,0.016,0,0,0.998,0.985,0.118,0.037,1,1,0.909,0.794
"2023-10-07","Michigan St.",54,"Northwestern",48,0.4796,0,0,0,0,0.001,0,0.017,0.003,0.299,0.084,0.785,0.529
"2023-10-07","Purdue",21,"Iowa",151,0.9889,0,0,0,0,0.296,0.207,0,0,0.981,0.946,0,0
"2023-10-07","Illinois",99,"Wisconsin",2,0.0012,0,0,0.188,0,0,0,1,1,0.083,0.064,1,1
"2023-10-07","Maryland",65,"Indiana",20,0.1698,0,0,0,0,0.005,0,0.799,0.638,0.479,0.267,0.999,0.995
"2023-10-07","Rutgers",145,"Minnesota",14,0.0161,0,0,0,0,0,0,0.881,0.745,0,0,1,1
"2023-10-11","Indiana",20,"Purdue",21,0.5727,0,0,0,0,0.881,0.626,0.455,0.176,0.999,0.997,0.995,0.97
"2023-10-11","Michigan",117,"Minnesota",14,0.0244,0,0,0,0,0,0,0.882,0.775,0.004,0,1,1
"2023-10-13","Ohio St.",37,"Illinois",99,0.8986,0,0,0,0,0.048,0.016,0.001,0,0.826,0.617,0.179,0.051
"2023-10-13","Nebraska",1,"Michigan St.",54,0.9965,0.761,0.6,0,0,1,1,0,0.001,1,1,0.4,0.186
"2023-10-13","Northwestern",48,"Maryland",65,0.7407,0,0,0,0,0.013,0.002,0.003,0,0.751,0.407,0.543,0.22
"2023-10-13","Iowa",151,"Penn St.",13,0.0046,0,0,0.051,0.022,0,0,0.997,1,0,0,1,1
"2023-10-13","Wisconsin",2,"Rutgers",145,1,0.188,NA,NA,0,1,NA,NA,0,1,NA,NA,0
"2023-10-14","Indiana",20,"Michigan",117,0.9765,0,0,0,0,0.776,0.613,0,0,0.999,0.987,0.004,0
"2023-10-14","Iowa",151,"Michigan St.",54,0.1324,0,0,0,0,0,0,0.001,0,0.001,0,0.204,0.08
"2023-10-14","Nebraska",1,"Penn St.",13,0.8853,0.796,0.492,0.221,0.029,1,1,1,0.997,1,1,1,1
"2023-10-15","Ohio St.",37,"Purdue",21,0.3855,0,0,0,0,0.084,0.02,0.355,0.199,0.889,0.752,0.992,0.962
"2023-10-15","Illinois",99,"Rutgers",145,0.7451,0,0,0,0,0,0,0,0,0.077,0.026,0,0
"2023-10-15","Wisconsin",2,"Maryland",65,0.9973,0.188,0.111,0,0,1,1,0,0.001,1,1,0.296,0.303
"2023-10-15","Minnesota",14,"Northwestern",48,0.853,0,0,0,0,0.898,0.773,0.035,0.006,1,0.999,0.826,0.634
"2023-10-18","Michigan St.",54,"Michigan",117,0.8813,0,0,0,0,0.001,0,0,0,0.202,0.076,0.003,0
"2023-10-18","Purdue",21,"Indiana",20,0.5685,0,0,0,0,0.401,0.156,0.894,0.68,0.991,0.967,0.999,0.998
"2023-10-18","Wisconsin",2,"Ohio St.",37,0.9857,0.189,0.126,0,0,1,1,0.14,0.044,1,1,0.937,0.803
"2023-10-18","Northwestern",48,"Nebraska",1,0.0149,0,0,0.763,0.644,0.06,0.009,1,1,0.893,0.659,1,1
"2023-10-20","Maryland",65,"Illinois",99,0.7256,0,0,0,0,0.001,0.001,0,0,0.357,0.162,0.133,0.037
"2023-10-20","Minnesota",14,"Rutgers",145,0.9939,0,0,0,0,0.88,0.721,0,0,1,1,0,0
"2023-10-20","Penn St.",13,"Iowa",151,0.9981,0.051,0,0,0,0.997,1,0,0,1,1,0,0
"2023-10-21","Maryland",65,"Iowa",151,0.8827,0,0,0,0,0.001,0,0,0,0.322,0.166,0,0
"2023-10-21","Indiana",20,"Ohio St.",37,0.7409,0,0,0,0,0.819,0.636,0.105,0.024,0.999,0.996,0.901,0.771
"2023-10-21","Nebraska",1,"Wisconsin",2,0.6431,0.906,0.499,0.435,0.05,1,1,1,1,1,1,1,1
"2023-10-21","Northwestern",48,"Michigan",117,0.9129,0,0,0,0,0.011,0.001,0,0,0.678,0.496,0.001,0
"2023-10-22","Rutgers",145,"Illinois",99,0.3809,0,0,0,0,0,0,0,0,0,0,0.087,0.026
"2023-10-22","Penn St.",13,"Purdue",21,0.7938,0.061,0.014,0,0,0.999,0.987,0.421,0.262,1,1,0.995,0.977
"2023-10-22","Minnesota",14,"Michigan St.",54,0.8955,0,0,0,0,0.892,0.767,0.003,0,1,1,0.349,0.168
"2023-10-25","Ohio St.",37,"Northwestern",48,0.6399,0,0,0,0,0.059,0.019,0.02,0.005,0.875,0.68,0.808,0.58
"2023-10-25","Illinois",99,"Indiana",20,0.082,0,0,0,0,0.001,0,0.786,0.621,0.163,0.055,0.999,0.993
"2023-10-26","Purdue",21,"Minnesota",14,0.4808,0,0,0,0,0.413,0.186,0.95,0.803,0.992,0.97,1,1
"2023-10-27","Iowa",151,"Rutgers",145,0.5412,0,0,0,0,0,0,0,0,0,0,0,0
"2023-10-27","Michigan St.",54,"Wisconsin",2,0.0146,0,0,0.19,0.041,0,0.001,1,1,0.342,0.185,1,1
"2023-10-27","Nebraska",1,"Maryland",65,0.9991,0.761,0.556,0,0,1,1,0,0.001,1,1,0.444,0.303
"2023-10-27","Michigan",117,"Penn St.",13,0.0088,0,0,0.051,0.034,0,0,0.997,0.989,0,0,1,1
"2023-10-28","Michigan St.",54,"Penn St.",13,0.0878,0,0,0.055,0.011,0,0.001,0.997,0.993,0.362,0.17,1,1
"2023-10-28","Illinois",99,"Purdue",21,0.0838,0,0,0,0,0.001,0,0.306,0.173,0.159,0.055,0.985,0.93
"2023-10-28","Nebraska",1,"Rutgers",145,0.9999,0.761,0,0,0,1,1,0,0,1,1,0,0
"2023-10-28","Iowa",151,"Maryland",65,0.2018,0,0,0,0,0,0,0.001,0,0,0,0.338,0.165
"2023-10-29","Michigan",117,"Ohio St.",37,0.1128,0,0,0,0,0,0,0.048,0.017,0.001,0,0.825,0.647
"2023-10-29","Wisconsin",2,"Minnesota",14,0.9328,0.196,0.079,0.003,0,1,1,0.949,0.874,1,1,1,1
"2023-10-29","Northwestern",48,"Indiana",20,0.3183,0,0,0,0,0.028,0.002,0.822,0.665,0.79,0.603,0.999,0.996
"2023-11-01","Wisconsin",2,"Purdue",21,0.9626,0.192,0.075,0,0,1,0.997,0.481,0.288,1,1,1,0.98
"2023-11-01","Illinois",99,"Northwestern",48,0.2289,0,0,0,0,0,0,0.012,0.003,0.158,0.036,0.715,0.483
"2023-11-03","Ohio St.",37,"Minnesota",14,0.2943,0,0,0,0,0.091,0.026,0.914,0.796,0.889,0.77,1,0.999
"2023-11-03","Rutgers",145,"Indiana",20,0.0309,0,0,0,0,0,0,0.778,0.583,0,0,0.998,0.994
"2023-11-03","Michigan St.",54,"Maryland",65,0.674,0,0,0,0,0.001,0,0.002,0.001,0.247,0.064,0.474,0.221
"2023-11-03","Penn St.",13,"Nebraska",1,0.1774,0.178,0.024,0.813,0.517,0.998,0.997,1,1,1,1,1,1
"2023-11-03","Michigan",117,"Iowa",151,0.6833,0,0,0,0,0,0,0,0,0,0,0,0
"2023-11-04","Ohio St.",37,"Indiana",20,0.3847,0,0,0,0,0.088,0.018,0.834,0.673,0.887,0.753,0.999,0.997
"2023-11-04","Wisconsin",2,"Illinois",99,0.999,0.188,0,0,0,1,1,0,0,1,1,0.2,0.064
"2023-11-04","Michigan St.",54,"Iowa",151,0.9247,0,0,0,0,0.001,0,0,0,0.196,0.076,0.001,0
"2023-11-04","Michigan",117,"Maryland",65,0.2919,0,0,0,0,0,0,0.001,0,0.001,0,0.355,0.178
"2023-11-05","Rutgers",145,"Nebraska",1,3e-04,0,0,0.761,0.667,0,0,1,1,0,0,1,1
"2023-11-05","Purdue",21,"Penn St.",13,0.3041,0,0,0.066,0.016,0.414,0.243,1,0.99,0.993,0.975,1,1
"2023-11-05","Northwestern",48,"Minnesota",14,0.244,0,0,0,0,0.03,0.004,0.908,0.789,0.799,0.618,1,0.999
"2023-11-08","Ohio St.",37,"Michigan St.",54,0.7147,0,0,0,0,0.055,0.02,0.002,0,0.862,0.661,0.342,0.125
"2023-11-08","Nebraska",1,"Northwestern",48,0.9947,0.762,0.585,0,0,1,1,0.019,0.01,1,1,0.906,0.661
"2023-11-10","Indiana",20,"Rutgers",145,0.9884,0,0,0,0,0.774,0.629,0,0,0.998,1,0,0
"2023-11-10","Maryland",65,"Wisconsin",2,0.0078,0,0,0.189,0.064,0.013,0.001,1,0.987,0.551,0.301,1,1
"2023-11-10","Iowa",151,"Illinois",99,0.3386,0,0,0,0,0,0,0,0,0,0,0.083,0.026
"2023-11-10","Minnesota",14,"Purdue",21,0.6581,0,0,0,0,0.942,0.758,0.454,0.213,1,0.999,0.994,0.973
"2023-11-10","Penn St.",13,"Michigan",117,0.9956,0.051,0,0,0,0.997,0.955,0,0,1,1,0,0
"2023-11-11","Penn St.",13,"Wisconsin",2,0.2346,0.129,0.027,0.222,0.075,1,0.996,1,1,1,1,1,1
"2023-11-12","Rutgers",145,"Michigan",117,0.4828,0,0,0,0,0,0,0,0,0,0,0.001,0
"2023-11-12","Maryland",65,"Ohio St.",37,0.3044,0,0,0,0,0.002,0,0.056,0.02,0.498,0.218,0.874,0.645
"2023-11-12","Indiana",20,"Minnesota",14,0.4792,0,0,0,0,0.863,0.688,0.939,0.814,0.999,0.997,1,1
"2023-11-12","Iowa",151,"Northwestern",48,0.0935,0,0,0,0,0,0,0.011,0.001,0.001,0,0.68,0.491
"2023-11-12","Nebraska",1,"Illinois",99,0.9998,0.761,0.5,0,0,1,1,0,0,1,1,0,0.064
"2023-11-12","Purdue",21,"Michigan St.",54,0.8479,0,0,0,0,0.315,0.187,0.003,0,0.988,0.94,0.362,0.156
"2023-11-15","Illinois",99,"Ohio St.",37,0.1762,0,0,0,0,0,0,0.049,0.024,0.152,0.045,0.838,0.648
"2023-11-17","Indiana",20,"Maryland",65,0.9019,0,0,0,0,0.791,0.6,0.003,0.001,0.999,0.99,0.493,0.283
"2023-11-17","Rutgers",145,"Northwestern",48,0.1069,0,0,0,0,0,0,0.011,0,0.001,0,0.684,0.483
"2023-11-17","Minnesota",14,"Iowa",151,0.9944,0,0,0,0,0.88,0.714,0,0,1,1,0.018,0
"2023-11-17","Nebraska",1,"Michigan",117,1,0.761,NA,NA,0,1,NA,NA,0,1,NA,NA,0
"2023-11-17","Penn St.",13,"Michigan St.",54,0.9528,0.053,0.017,0,0,0.997,0.987,0.004,0.001,1,1,0.377,0.178
"2023-11-17","Purdue",21,"Wisconsin",2,0.0766,0,0,0.196,0.086,0.482,0.28,1,0.999,0.996,0.979,1,1
"2023-11-18","Illinois",99,"Michigan",117,0.6789,0,0,0,0,0,0,0,0,0.08,0.03,0.001,0
"2023-11-18","Minnesota",14,"Ohio St.",37,0.8116,0,0,0,0,0.905,0.766,0.108,0.03,1,0.999,0.892,0.784
"2023-11-18","Penn St.",13,"Northwestern",48,0.9292,0.054,0.008,0,0,0.998,0.987,0.021,0.009,1,1,0.798,0.652
"2023-11-18","Rutgers",145,"Michigan St.",54,0.145,0,0,0,0,0,0,0.001,0,0.001,0,0.205,0.085
"2023-11-18","Purdue",21,"Maryland",65,0.9062,0,0,0,0,0.307,0.179,0.007,0,0.987,0.916,0.513,0.282
"2023-11-19","Indiana",20,"Wisconsin",2,0.0788,0.001,0,0.197,0.075,0.881,0.763,1,1,0.999,0.998,1,1
"2023-11-19","Iowa",151,"Nebraska",1,3e-04,0,0,0.761,1,0,0,1,1,0,0,1,1
"2023-11-22","Maryland",65,"Penn St.",13,0.0543,0,0,0.054,0.004,0.004,0.001,0.998,0.985,0.477,0.293,1,1
"2023-11-24","Michigan St.",54,"Indiana",20,0.2462,0,0,0,0,0.003,0,0.809,0.658,0.319,0.144,1,0.994
"2023-11-24","Wisconsin",2,"Nebraska",1,0.4869,0.345,0.038,0.925,0.588,1,1,1,1,1,1,1,1
"2023-11-24","Maryland",65,"Rutgers",145,0.8625,0,0,0,0,0.001,0,0,0,0.325,0.167,0.001,0
"2023-11-24","Minnesota",14,"Illinois",99,0.9759,0,0,0,0,0.882,0.768,0,0,1,1,0.133,0.062
"2023-11-24","Michigan",117,"Purdue",21,0.0454,0,0,0,0,0,0,0.3,0.198,0.004,0,0.982,0.952
"2023-11-24","Ohio St.",37,"Penn St.",13,0.1632,0,0,0.058,0.015,0.097,0.035,0.998,0.991,0.921,0.782,1,1
"2023-11-24","Northwestern",48,"Iowa",151,0.9539,0,0,0,0,0.011,0,0,0,0.673,0.447,0.002,0
"2023-11-25","Ohio St.",37,"Rutgers",145,0.963,0,0,0,0,0.046,0.016,0,0,0.811,0.627,0.003,0
"2023-11-25","Wisconsin",2,"Iowa",151,1,0.188,NA,NA,0,1,NA,NA,0,1,NA,NA,0
"2023-11-25","Minnesota",14,"Nebraska",1,0.0855,0.002,0,0.782,0.536,0.946,0.873,1,1,1,1,1,1
"2023-11-25","Michigan St.",54,"Purdue",21,0.2484,0,0,0,0,0.002,0,0.335,0.175,0.306,0.148,0.99,0.952
"2023-11-25","Northwestern",48,"Illinois",99,0.8621,0,0,0,0,0.011,0.004,0.001,0,0.693,0.466,0.162,0.048
"2023-11-25","Michigan",117,"Indiana",20,0.0472,0,0,0,0,0,0,0.779,0.629,0,0,0.998,0.996
